tran_id,created_date,reached_bo_date,item_manufacturer,item_name,so_line,so_quantity,bo_quantity,item_curve,item_buyer,field,bo_status,new_value,is_dropship,IsUnder,IsAfter,Buckets,Hours 2,MAX so_amount,Under 48 hours,After 48 Hours
SO207544,03/12/2026 12:50:43.000 PM,03/16/2026 03:05:56.000 PM,Vesda,VSP-811,1,4,0,CZ,Arthur Malheiro,Allocated Supply,Purchased,4,F,F,T,F. 49 a 60h,50,308,0,1
SO207544,03/12/2026 12:50:43.000 PM,03/16/2026 03:05:56.000 PM,Vesda,VSP-811,1,4,0,CZ,Arthur Malheiro,Committed,Purchased,4,F,F,T,F. 49 a 60h,50,308,0,1
SO207544,03/12/2026 12:50:43.000 PM,03/16/2026 05:33:40.000 PM,Vesda,VSP-811,1,4,0,CZ,Arthur Malheiro,Fulfilled,Purchased,4,F,F,T,F. 49 a 60h,52,308,0,1
SO207575,03/12/2026 02:22:02.000 PM,03/16/2026 09:04:00.000 AM,Yuasa,Y2.9-12,1,2,0,CZ,Arthur Malheiro,Committed,Purchased,2,F,T,F,E. 37 a 48h,42,26,1,0
SO207575,03/12/2026 02:22:02.000 PM,03/16/2026 04:19:01.000 PM,Yuasa,Y2.9-12,1,2,0,CZ,Arthur Malheiro,Fulfilled,Purchased,2,F,F,T,F. 49 a 60h,49,26,0,1
SO208213,03/16/2026 07:31:30.000 AM,03/16/2026 07:31:31.000 AM,EMS,SC-836-000,1,12,0,CZ,Arthur Malheiro,Allocated Supply,Purchased,12,F,T,F,A. Under 1 Hour,0,45,1,0
SO208213,03/16/2026 07:31:30.000 AM,03/17/2026 12:40:47.000 PM,EMS,SC-836-000,1,12,0,CZ,Arthur Malheiro,Committed,Purchased,12,F,T,F,D. 25 a 36h,29,45,1,0
SO208218,03/16/2026 09:46:32.000 AM,03/16/2026 09:46:33.000 AM,Jewel Fire Group,6FX,1,2,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,47,1,0
SO208220,03/16/2026 10:52:36.000 AM,03/16/2026 12:52:50.000 PM,FireClass,576.501.063,1,10,10,BX,Lorena Galvao,Allocated Supply,Purchased,10,F,T,F,I. Others,1,362,1,0
SO208228,03/16/2026 12:15:46.000 PM,03/16/2026 12:21:40.000 PM,System Sensor,P2GRKLED,1,1,1,AX,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,89,1,0
SO208228,03/16/2026 12:15:46.000 PM,03/16/2026 12:21:40.000 PM,System Sensor,2WT-B,2,13,13,AX,Arthur Malheiro,Allocated Supply,Purchased,13,F,T,F,A. Under 1 Hour,0,657,1,0
SO208307,03/16/2026 03:11:39.000 PM,03/16/2026 03:17:53.000 PM,Gentex,S,2,5,5,AX,Arthur Malheiro,Allocated Supply,Purchased,5,F,T,F,A. Under 1 Hour,0,347,1,0
SO208326,03/16/2026 03:45:54.000 PM,03/16/2026 03:51:58.000 PM,Macurco,CX-6,1,2,2,CY,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,A. Under 1 Hour,0,"1,807",1,0
SO208428,03/16/2026 07:25:12.000 PM,03/16/2026 07:26:48.000 PM,System Sensor,SPCWL,2,10,8,AY,Arthur Malheiro,Allocated Supply,Purchased,10,F,T,F,A. Under 1 Hour,0,334,1,0
SO208428,03/16/2026 07:25:12.000 PM,03/16/2026 07:26:48.000 PM,System Sensor,SPCWL,2,10,8,AY,Arthur Malheiro,Allocated Supply,Purchased,8,F,T,F,A. Under 1 Hour,0,334,1,0
SO208428,03/16/2026 07:25:12.000 PM,03/16/2026 07:36:53.000 PM,System Sensor,SPCWL,2,10,8,AY,Arthur Malheiro,Committed,Purchased,10,F,T,F,A. Under 1 Hour,0,334,1,0
SO208428,03/16/2026 07:25:12.000 PM,03/16/2026 07:36:53.000 PM,System Sensor,SPCWL,2,10,8,AY,Arthur Malheiro,Committed,Purchased,2,F,T,F,A. Under 1 Hour,0,334,1,0
SO208428,03/16/2026 07:25:12.000 PM,03/16/2026 07:36:53.000 PM,System Sensor,SPCWL,2,10,8,AY,Arthur Malheiro,Committed,Purchased,3,F,T,F,A. Under 1 Hour,0,334,1,0
SO208455,03/16/2026 08:10:16.000 PM,03/16/2026 08:16:01.000 PM,Ansul,9335,1,1,1,AX,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,A. Under 1 Hour,0,240,1,0
SO208546,03/17/2026 07:46:01.000 AM,03/17/2026 12:36:37.000 PM,Jewel Fire Group,6WX,1,20,18,CZ,Arthur Malheiro,Allocated Supply,Purchased,20,F,T,F,B. 1 a 12h,4,446,1,0
SO208547,03/17/2026 08:12:40.000 AM,03/17/2026 12:40:06.000 PM,Fike,505-0004,2,1,1,CZ,Lorena Galvao,Allocated Supply,Purchased,1,F,T,F,B. 1 a 12h,4,277,1,0
SO208550,03/17/2026 08:22:04.000 AM,03/17/2026 01:36:10.000 PM,Kentec Electronics,U187,1,1,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,1,F,T,F,B. 1 a 12h,5,79,1,0
SO208552,03/17/2026 08:46:23.000 AM,03/17/2026 12:36:37.000 PM,Jewel Fire Group,2CX,1,2,1,CZ,Arthur Malheiro,Allocated Supply,Purchased,2,F,T,F,B. 1 a 12h,3,65,1,0
SO208552,03/17/2026 08:46:23.000 AM,03/17/2026 12:36:37.000 PM,Jewel Fire Group,6WX,2,3,3,CZ,Arthur Malheiro,Allocated Supply,Purchased,3,F,T,F,B. 1 a 12h,3,70,1,0
SO208552,03/17/2026 08:46:23.000 AM,03/17/2026 08:46:24.000 AM,Jewel Fire Group,9WX,3,3,3,CZ,Arthur Malheiro,Allocated Supply,Purchased,3,F,T,F,A. Under 1 Hour,0,78,1,0
